No,商品名,サブ,色番,爪サンプル,質感,塗った回数,発注コード,商品符号,"チップ
画像","商品
画像",税抜価格,発売年月,ＪＡＮコード,MaisonKOSE,Amazon,楽天,ロハコ,＠コスメ,流通EC,,,,,,,,,,,,,,,
95,ネイルホリック,Luxury,RO605,,パール,2,47184,DLMI605,,●,¥300,2017/02,4971710471847,https://maison.kose.co.jp/site/nailholic/g/gDLMI910/,,,,,,,,,,,,,,,,,,,,
96,ネイルホリック,Ethnic,RO606,,,2,47517,DLMI606,,●,¥300,2017/08,4971710475173,https://maison.kose.co.jp/site/nailholic/g/gDLMI706/,,,,,,,,,,,,,,,,,,,,
97,ネイルホリック,Juicy,GR702,,,2,46642,DLMI702,,●,¥300,2016/08,4971710466423,https://maison.kose.co.jp/site/nailholic/g/gDLMI204/,,,,,,,,,,,,,,,,,,,,
98,ネイルホリック,Earth,GR703,,,2,46652,DLMI703,,●,¥300,2016/08,4971710466522,https://maison.kose.co.jp/site/nailholic/g/gDLMI307/,,,,,,,,,,,,,,,,,,,,
99,ネイルホリック,Earth,GR704,,,2,46653,DLMI704,,●,¥300,2016/08,4971710466539,https://maison.kose.co.jp/site/nailholic/g/gDLMI307/,,,,,,,,,,,,,,,,,,,,
100,ネイルホリック,Luxury,GR705,,パール,2,47181,DLMI705,,●,¥300,2017/02,4971710471816,https://maison.kose.co.jp/site/nailholic/g/gDLMI910/,,,,,,,,,,,,,,,,,,,,
101,ネイルホリック,Ethnic,GR706,,,2,47513,DLMI706,,●,¥300,2017/08,4971710475135,https://maison.kose.co.jp/site/nailholic/g/gDLMI706/,,,,,,,,,,,,,,,,,,,,
102,ネイルホリック,Ethnic,GR707,,,2,47514,DLMI707,,●,¥300,2017/08,4971710475142,https://maison.kose.co.jp/site/nailholic/g/gDLMI706/,,,,,,,,,,,,,,,,,,,,
103,ネイルホリック,Relaxing,GR708,,,2,47543,DLMI708,,●,¥300,2017/08,4971710475432,https://maison.kose.co.jp/site/nailholic/g/gDLMI317/,,,,,,,,,,,,,,,,,,,,
104,ネイルホリック,Milky,GR709,,,2,47932,DLMI709,,●,¥300,2018/02,4971710479324,https://maison.kose.co.jp/site/nailholic/g/gDLMI917/,,,,,,,,,,,,,,,,,,,,
105,ネイルホリック,Milky,GR710,,,2,47935,DLMI710,,●,¥300,2018/02,4971710479355,https://maison.kose.co.jp/site/nailholic/g/gDLMI917/,,,,,,,,,,,,,,,,,,,,
106,ネイルホリック,Milky,GR711,,,2,47939,DLMI711,,●,¥300,2018/02,4971710479393,https://maison.kose.co.jp/site/nailholic/g/gDLMI917/,,,,,,,,,,,,,,,,,,,,
